Fecha,Producto,Categoría,Vendedor,Región,Canal de Venta,Método de Pago,Cliente,Cantidad,Precio Unitario (USD),Descuento (%),Total (USD)
2024-09-13,Ratón ergonómico,Audio,María Fernández,Centro,Marketplace,Transferencia bancaria,Cliente_00491,4,176.24,0.59,700.8
2024-10-04,Cámara DSLR,Audio,Andrés Ruiz,Centro,Marketplace,Transferencia bancaria,Cliente_00655,7,991.55,9.69,6268.28
2024-03-25,Teclado mecánico,Computación,Jorge Herrera,Sur,Marketplace,PayPal,Cliente_00025,5,874.42,16.6,3646.33
2024-05-06,Laptop Pro 15,Electrónica,Carlos Gómez,Este,Marketplace,Transferencia bancaria,Cliente_00506,10,1336.52,5.18,12672.88
2024-08-24,"Monitor 24""",Wearables,Sofía Díaz,Norte,Marketplace,PayPal,Cliente_00446,5,370.23,12.52,1619.39
2024-01-12,Cámara DSLR,Audio,Carlos Gómez,Sur,Online,PayPal,Cliente_00076,10,211.78,14.0,1821.31
2024-12-22,Ratón ergonómico,Electrónica,Jorge Herrera,Centro,Marketplace,Tarjeta de débito,Cliente_00829,1,776.23,11.34,688.21
2024-04-19,Tablet T8,Computación,Ana Rodríguez,Centro,Tienda física,Tarjeta de débito,Cliente_00704,1,983.88,6.41,920.81
2024-12-30,Cámara DSLR,Video,Andrés Ruiz,Norte,Online,PayPal,Cliente_00146,6,448.17,14.55,2297.77
2024-08-04,"Monitor 24""",Accesorios,Camila López,Centro,Tienda física,PayPal,Cliente_00379,10,1367.26,13.02,11892.43
2024-08-04,Laptop Pro 15,Wearables,Luis Martínez,Oeste,Tienda física,Tarjeta de crédito,Cliente_00320,5,386.78,14.38,1655.81
2024-11-13,Teclado mecánico,Computación,Carlos Gómez,Sur,Online,Transferencia bancaria,Cliente_00411,7,233.95,10.67,1462.91
2024-04-05,Impresora láser,Electrónica,Luis Martínez,Norte,Online,Tarjeta de crédito,Cliente_00812,9,529.82,3.4,4606.26
2024-07-06,Ratón ergonómico,Wearables,Andrés Ruiz,Centro,Online,Tarjeta de débito,Cliente_00524,4,158.59,2.99,615.39
2024-01-30,Smartphone X1,Computación,Laura Pérez,Sur,Online,PayPal,Cliente_00463,2,43.76,15.8,73.69
2024-04-06,Tablet T8,Audio,Miguel Sánchez,Este,Tienda física,PayPal,Cliente_00684,5,519.22,16.1,2178.13
2024-05-14,Auriculares BT,Electrónica,Luis Martínez,Centro,Tienda física,Transferencia bancaria,Cliente_00093,3,1006.26,15.63,2546.94
